PLAYER_ID,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,GAME_DATE,SALARY
1630243,Trevelin Queen,76ers,Guard,6-6,190,USA,1997-02-25T00:00:00,1,Undrafted,10.0,7.4,4.3,1.6,0.4,0.5,0.1,OCT 03 2022,"$1,637,966"
1629674,Neemias Queta,Kings,Center,7-0,248,Portugal,1999-07-13T00:00:00,1,39,15.0,8.0,3.0,2.1,0.4,0.1,0.5,OCT 03 2022,
1630193,Immanuel Quickley,Knicks,Guard,6-3,190,USA,1999-06-17T00:00:00,2,25,142.0,21.5,11.4,2.7,2.8,0.6,0.1,OCT 04 2022,"$2,316,240"
203944,Julius Randle,Knicks,Forward-Center,6-8,250,USA,1994-11-29T00:00:00,8,7,518.0,31.2,17.7,9.3,3.6,0.7,0.5,OCT 04 2022,"$23,760,000"
1630559,Austin Reaves,Lakers,Guard,6-5,197,USA,1998-05-29T00:00:00,1,Undrafted,61.0,23.2,7.3,3.2,1.8,0.5,0.3,OCT 03 2022,"$1,563,518"
1629629,Cam Reddish,Knicks,Forward-Guard,6-8,217,USA,1999-09-01T00:00:00,3,10,133.0,24.9,10.5,3.2,1.3,1.1,0.4,OCT 04 2022,"$5,954,454"
1628432,Davon Reed,Nuggets,Guard,6-5,206,USA,1995-06-11T00:00:00,3,32,79.0,12.1,3.6,1.9,0.9,0.4,0.1,OCT 03 2022,"$1,902,133"
1630194,Paul Reed,76ers,Forward,6-9,210,USA,1999-06-14T00:00:00,2,58,64.0,7.5,3.2,2.4,0.4,0.7,0.4,OCT 03 2022,"$1,782,621"
1629675,Naz Reid,Timberwolves,Center-Forward,6-9,264,USA,1999-08-26T00:00:00,3,Undrafted,177.0,17.3,9.5,4.2,1.0,0.5,1.0,OCT 04 2022,"$1,930,681"
1630208,Nick Richards,Hornets,Center,7-0,245,Jamaica,1997-11-29T00:00:00,2,42,68.0,6.3,2.4,1.4,0.2,0.1,0.3,OCT 02 2022,"$1,782,621"
1626196,Josh Richardson,Spurs,Guard,6-5,200,USA,1993-09-15T00:00:00,7,40,438.0,29.8,12.0,3.1,2.7,1.1,0.6,OCT 02 2022,"$12,196,094"
203085,Austin Rivers,Timberwolves,Guard,6-4,200,USA,1992-08-01T00:00:00,10,10,655.0,24.2,8.8,2.1,2.2,0.7,0.2,OCT 04 2022,"$1,836,090"
1629130,Duncan Robinson,Heat,Forward,6-7,215,USA,1994-04-22T00:00:00,4,Undrafted,239.0,27.7,11.9,2.9,1.5,0.5,0.2,OCT 04 2022,"$16,902,000"
1629011,Mitchell Robinson,Knicks,Center-Forward,7-0,240,USA,1998-04-01T00:00:00,4,36,230.0,23.8,8.4,7.5,0.6,0.9,2.0,OCT 04 2022,"$17,045,454"
1630526,Jeremiah Robinson-Earl,Thunder,Forward,6-8,242,USA,2000-11-03T00:00:00,1,32,49.0,22.2,7.5,5.6,1.0,0.6,0.3,OCT 03 2022,"$2,000,000"
1629676,Isaiah Roby,Spurs,Forward,6-8,230,USA,1998-02-03T00:00:00,3,45,109.0,21.9,9.1,5.1,1.6,0.8,0.7,OCT 02 2022,"$1,930,681"
200765,Rajon Rondo,Cavaliers,Guard,6-1,180,USA,1986-02-22T00:00:00,17,21,957.0,29.9,9.8,4.5,7.9,1.6,0.1,,
201565,Derrick Rose,Knicks,Guard,6-2,200,USA,1988-10-04T00:00:00,13,1,672.0,31.7,18.2,3.3,5.4,0.8,0.3,OCT 04 2022,"$14,520,730"
203082,Terrence Ross,Magic,Guard-Forward,6-6,206,USA,1991-02-05T00:00:00,10,8,670.0,24.8,11.2,2.8,1.3,0.8,0.3,OCT 03 2022,"$11,500,000"
1626179,Terry Rozier,Hornets,Guard,6-1,190,USA,1994-03-17T00:00:00,7,16,477.0,26.1,12.7,3.9,3.2,0.9,0.2,OCT 02 2022,"$21,486,316"
201937,Ricky Rubio,Cavaliers,Guard,6-2,190,Spain,1990-10-21T00:00:00,11,5,665.0,30.3,11.1,4.2,7.6,1.8,0.1,OCT 05 2022,"$5,853,659"
1626156,D'Angelo Russell,Timberwolves,Guard,6-4,193,USA,1996-02-23T00:00:00,7,2,424.0,29.4,17.7,3.5,5.6,1.1,0.3,OCT 04 2022,"$31,377,750"
1630346,Matt Ryan,Celtics,Forward,6-7,215,USA,1997-04-17T00:00:00,1,Undrafted,1.0,5.3,3.0,0.0,0.0,1.0,0.0,OCT 02 2022,
1627734,Domantas Sabonis,Kings,Forward-Center,6-11,240,Lithuania,1996-05-03T00:00:00,6,11,415.0,28.4,14.4,9.2,3.6,0.7,0.4,OCT 03 2022,"$18,500,000"
203967,Dario Saric,Suns,Forward-Center,6-10,225,Croatia,1994-04-08T00:00:00,5,12,356.0,25.2,11.7,5.9,2.0,0.6,0.2,OCT 02 2022,"$9,240,000"
203107,Tomas Satoransky,Wizards,Guard,6-7,210,Czech Republic,1991-10-30T00:00:00,7,32,388.0,22.2,6.9,2.9,4.1,0.8,0.2,,
1630648,Jordan Schakel,Wizards,Guard,6-6,200,USA,1998-06-13T00:00:00,1,Undrafted,4.0,7.6,1.3,2.0,0.0,0.3,0.0,SEP 30 2022,
1629678,Admiral Schofield,Magic,Forward,6-5,241,United Kingdom,1997-03-30T00:00:00,2,42,71.0,11.8,3.5,1.9,0.6,0.2,0.1,OCT 03 2022,
203471,Dennis Schroder,Rockets,Guard,6-1,172,Germany,1993-09-15T00:00:00,9,17,621.0,26.5,14.2,2.9,4.7,0.8,0.1,OCT 02 2022,
1630206,Jay Scrubb,Clippers,Guard,6-5,220,USA,2000-09-01T00:00:00,3,55,22.0,9.3,3.8,1.4,0.4,0.4,0.1,,
1630578,Alperen Sengun,Rockets,Center,6-10,243,Turkey,2002-07-25T00:00:00,1,16,72.0,20.7,9.6,5.5,2.6,0.8,0.9,OCT 02 2022,"$3,375,360"
1629012,Collin Sexton,Cavaliers,Guard,6-1,190,USA,1999-01-04T00:00:00,4,8,218.0,32.9,20.0,3.0,3.3,0.8,0.1,OCT 05 2022,
1629013,Landry Shamet,Suns,Guard,6-4,190,USA,1997-03-13T00:00:00,4,26,262.0,23.3,9.0,1.8,1.6,0.4,0.1,OCT 02 2022,"$9,500,000"
1630549,Day'Ron Sharpe,Nets,Center,6-9,265,USA,2001-11-06T00:00:00,1,29,32.0,12.2,6.2,5.0,0.5,0.3,0.5,OCT 03 2022,"$2,109,480"
1627783,Pascal Siakam,Raptors,Forward,6-8,230,Cameroon,1994-04-02T00:00:00,6,27,400.0,29.5,15.7,6.3,3.1,0.9,0.7,OCT 02 2022,"$35,448,672"
1627732,Ben Simmons,Nets,Guard-Forward,6-11,240,Australia,1996-07-20T00:00:00,4,1,275.0,33.9,15.9,8.1,7.7,1.7,0.7,OCT 03 2022,"$35,448,672"
1630250,Marko Simonovic,Bulls,Center,6-11,220,Montenegro,1999-10-15T00:00:00,1,44,9.0,3.9,1.9,1.1,0.0,0.1,0.1,OCT 04 2022,"$1,563,518"
1629014,Anfernee Simons,Trail Blazers,Guard,6-3,181,USA,1999-06-08T00:00:00,4,24,211.0,20.7,10.2,2.2,2.0,0.4,0.1,OCT 03 2022,"$22,321,429"
1630579,Jericho Sims,Knicks,Center,6-9,250,USA,1998-10-20T00:00:00,1,58,41.0,13.5,2.2,4.1,0.5,0.3,0.5,OCT 04 2022,"$1,639,842"
1630606,Javonte Smart,Heat,Guard,6-4,205,USA,1999-06-03T00:00:00,2,Undrafted,17.0,11.8,3.0,1.4,0.9,0.4,0.2,,
203935,Marcus Smart,Celtics,Guard,6-4,220,USA,1994-03-06T00:00:00,8,6,520.0,29.8,10.5,3.6,4.5,1.6,0.4,OCT 02 2022,"$17,207,142"
202397,Ish Smith,Nuggets,Guard,6-0,175,USA,1988-07-05T00:00:00,12,Undrafted,719.0,20.0,7.6,2.5,3.9,0.7,0.3,OCT 03 2022,"$4,725,000"
1630188,Jalen Smith,Pacers,Forward-Center,6-10,215,USA,2000-03-16T00:00:00,2,10,78.0,13.8,6.7,4.4,0.4,0.2,0.6,OCT 05 2022,"$4,670,160"
1630270,Xavier Sneed,Jazz,Forward,6-5,215,USA,1997-12-21T00:00:00,1,Undrafted,9.0,4.3,0.6,0.7,0.1,0.0,0.0,OCT 02 2022,
203503,Tony Snell,Pelicans,Guard,6-6,213,USA,1991-11-10T00:00:00,9,20,601.0,21.8,6.1,2.3,1.1,0.4,0.2,OCT 04 2022,
1630531,Jaden Springer,76ers,Guard,6-4,202,USA,2002-09-25T00:00:00,1,28,2.0,2.8,1.0,1.0,0.0,0.0,1.0,OCT 03 2022,"$2,125,200"
203917,Nik Stauskas,Celtics,Guard,6-6,207,Canada,1993-10-07T00:00:00,7,8,343.0,19.5,6.7,2.0,1.5,0.4,0.2,,"$702,311"
202362,Lance Stephenson,Pacers,Forward,6-5,210,USA,1990-09-05T00:00:00,11,40,554.0,22.9,8.6,4.1,2.9,0.6,0.1,,
1630205,Lamar Stevens,Cavaliers,Forward,6-6,230,USA,1997-07-09T00:00:00,2,Undrafted,103.0,14.7,5.3,2.5,0.7,0.5,0.3,OCT 05 2022,"$1,782,621"
1630191,Isaiah Stewart,Pistons,Forward-Center,6-8,250,USA,2001-05-22T00:00:00,2,16,139.0,23.5,8.1,7.7,1.0,0.4,1.2,OCT 04 2022,"$3,433,320"
1629622,Max Strus,Heat,Guard-Forward,6-5,215,USA,1996-03-28T00:00:00,3,Undrafted,109.0,19.3,8.8,2.2,1.1,0.4,0.2,OCT 04 2022,"$1,815,677"
1630591,Jalen Suggs,Magic,Guard,6-5,205,USA,2001-06-03T00:00:00,1,5,48.0,27.2,11.8,3.6,4.4,1.2,0.4,OCT 03 2022,"$6,922,320"
1630256,Jae'Sean Tate,Rockets,Forward,6-4,230,USA,1995-10-28T00:00:00,2,Undrafted,148.0,27.7,11.6,5.4,2.7,1.1,0.5,OCT 02 2022,"$7,065,217"
1628369,Jayson Tatum,Celtics,Forward-Guard,6-8,210,USA,1998-03-03T00:00:00,5,3,365.0,33.4,20.9,6.6,3.0,1.1,0.7,OCT 02 2022,"$30,351,780"
1630678,Terry Taylor,Pacers,Forward,6-5,230,USA,1999-09-23T00:00:00,1,Undrafted,33.0,21.6,9.6,5.2,1.2,0.4,0.2,OCT 05 2022,"$1,563,518"
202066,Garrett Temple,Pelicans,Guard-Forward,6-5,195,USA,1986-05-08T00:00:00,12,Undrafted,691.0,21.4,6.4,2.3,1.7,0.8,0.3,OCT 04 2022,"$5,155,500"
1630179,Tyrell Terry,Grizzlies,Guard,6-2,160,USA,2000-09-28T00:00:00,3,31,13.0,4.6,1.0,0.5,0.5,0.4,0.0,,"$1,782,621"
1628464,Daniel Theis,Pacers,Forward-Center,6-9,245,Germany,1992-04-04T00:00:00,5,Undrafted,306.0,19.6,7.6,4.9,1.3,0.5,0.9,OCT 05 2022,"$8,694,369"
1630271,Brodric Thomas,Celtics,Guard,6-5,185,USA,1997-01-28T00:00:00,2,Undrafted,44.0,10.4,3.3,1.4,0.9,0.4,0.3,OCT 02 2022,
1630560,Cam Thomas,Nets,Guard,6-3,210,Japan,2001-10-13T00:00:00,1,27,67.0,17.6,8.5,2.4,1.2,0.5,0.1,OCT 03 2022,"$2,138,160"
202738,Isaiah Thomas,Hornets,Guard,5-9,185,USA,1989-02-07T00:00:00,11,60,550.0,28.3,17.7,2.4,4.8,0.9,0.1,OCT 02 2022,
1629744,Matt Thomas,Bulls,Guard,6-3,190,USA,1994-08-04T00:00:00,3,Undrafted,126.0,9.7,4.0,1.2,0.5,0.2,0.0,OCT 04 2022,
202691,Klay Thompson,Warriors,Guard,6-6,220,USA,1990-02-08T00:00:00,9,11,647.0,32.9,19.5,3.5,2.3,0.9,0.5,SEP 30 2022,"$40,600,080"
202684,Tristan Thompson,Bulls,Center-Forward,6-9,254,Canada,1991-03-13T00:00:00,11,4,730.0,26.8,9.0,8.4,1.0,0.5,0.7,OCT 04 2022,
1630550,JT Thor,Hornets,Forward,6-9,203,USA,2002-08-26T00:00:00,1,37,33.0,7.9,2.0,1.3,0.6,0.2,0.3,OCT 02 2022,"$1,563,518"
1629680,Matisse Thybulle,76ers,Guard-Forward,6-5,201,USA,1997-03-04T00:00:00,3,20,196.0,21.8,4.8,1.9,1.1,1.6,1.0,OCT 03 2022,"$4,379,527"
1629681,Killian Tillie,Grizzlies,Forward-Center,6-9,220,France,1998-03-05T00:00:00,2,Undrafted,54.0,11.9,3.2,1.6,0.6,0.5,0.4,OCT 01 2022,"$1,901,625"
1630214,Xavier Tillman Sr.,Grizzlies,Forward,6-8,245,USA,1999-01-12T00:00:00,2,35,112.0,15.9,5.7,3.7,1.2,0.8,0.4,OCT 01 2022,"$1,782,621"
1630225,Isaiah Todd,Wizards,Forward,6-9,219,USA,2001-10-17T00:00:00,1,31,12.0,6.2,1.7,1.0,0.3,0.3,0.2,SEP 30 2022,"$1,575,000"
1630167,Obi Toppin,Knicks,Forward,6-9,220,USA,1998-03-04T00:00:00,2,8,134.0,14.3,6.7,3.0,0.8,0.3,0.4,OCT 04 2022,"$5,348,280"
1629308,Juan Toscano-Anderson,Lakers,Forward,6-6,209,USA,1993-04-10T00:00:00,3,Undrafted,139.0,17.1,4.8,3.3,2.2,0.7,0.3,OCT 03 2022,"$1,836,090"
1626157,Karl-Anthony Towns,Timberwolves,Center-Forward,6-11,248,USA,1995-11-15T00:00:00,7,1,482.0,34.2,23.2,11.3,3.1,0.8,1.4,OCT 04 2022,"$33,833,400"
1629018,Gary Trent Jr.,Raptors,Guard-Forward,6-5,209,USA,1999-01-18T00:00:00,4,37,204.0,27.9,13.5,2.2,1.4,1.1,0.2,OCT 02 2022,"$17,505,000"
200782,P.J. Tucker,76ers,Forward,6-5,245,USA,1985-05-05T00:00:00,11,35,777.0,29.0,7.1,5.6,1.5,1.1,0.3,OCT 03 2022,"$10,490,000"
1629730,Rayjon Tucker,Bucks,Guard,6-3,209,USA,1997-09-24T00:00:00,4,Undrafted,39.0,7.7,3.0,1.0,0.5,0.2,0.0,,
1626167,Myles Turner,Pacers,Center-Forward,6-11,250,USA,1996-03-24T00:00:00,7,11,431.0,28.7,12.7,6.7,1.2,0.7,2.3,OCT 05 2022,"$18,000,000"
202685,Jonas Valanciunas,Pelicans,Center,6-11,265,Lithuania,1992-05-06T00:00:00,10,5,695.0,26.1,13.4,9.5,1.2,0.4,1.0,OCT 04 2022,"$14,700,000"
1627832,Fred VanVleet,Raptors,Guard,6-1,197,USA,1994-02-25T00:00:00,6,Undrafted,348.0,28.3,13.7,3.2,4.9,1.3,0.4,OCT 02 2022,"$21,250,000"
1629020,Jarred Vanderbilt,Jazz,Forward,6-9,214,USA,1999-04-03T00:00:00,4,41,166.0,18.9,5.4,6.2,1.1,1.0,0.6,OCT 02 2022,"$4,374,000"
1630170,Devin Vassell,Spurs,Guard-Forward,6-5,200,USA,2000-08-23T00:00:00,2,11,133.0,22.5,9.1,3.6,1.4,0.9,0.4,OCT 02 2022,"$4,437,000"
1630170,Devin Vassell,Spurs,Guard-Forward,6-5,200,USA,2000-08-23T00:00:00,2,11,133.0,22.5,9.1,3.6,1.4,0.9,0.4,OCT 02 2022,"$4,437,000"
1630492,Luca Vildoza,Bucks,Guard,6-3,190,Argentina,1995-08-11T00:00:00,1,Undrafted,,,,,,,,OCT 01 2022,"$1,836,090"
1629216,Gabe Vincent,Heat,Guard,6-3,200,USA,1996-06-14T00:00:00,3,Undrafted,127.0,18.3,6.7,1.5,2.2,0.7,0.1,OCT 04 2022,"$1,815,677"
202696,Nikola Vucevic,Bulls,Center,6-10,260,Montenegro,1990-10-24T00:00:00,11,16,741.0,30.9,16.9,10.4,2.7,0.9,0.9,OCT 04 2022,"$22,000,000"
1629731,Dean Wade,Cavaliers,Forward-Center,6-9,228,USA,1996-11-20T00:00:00,3,Undrafted,126.0,18.0,5.3,3.0,1.0,0.5,0.3,OCT 05 2022,"$1,930,681"
1630532,Franz Wagner,Magic,Forward,6-10,220,Germany,2001-08-27T00:00:00,1,8,79.0,30.7,15.2,4.5,2.9,0.9,0.4,OCT 03 2022,"$5,258,280"
1629021,Moritz Wagner,Magic,Forward-Center,6-11,245,Germany,1997-04-26T00:00:00,4,25,196.0,15.1,7.5,3.5,1.1,0.4,0.3,OCT 03 2022,"$1,878,720"
1630688,Ish Wainright,Suns,Forward,6-5,250,USA,1994-09-12T00:00:00,1,Undrafted,45.0,8.0,2.4,1.2,0.3,0.4,0.1,OCT 02 2022,
202689,Kemba Walker,Pistons,Guard,6-0,184,USA,1990-05-08T00:00:00,11,9,741.0,33.3,19.5,3.8,5.3,1.2,0.4,OCT 04 2022,"$9,165,471"
1629022,Lonnie Walker IV,Lakers,Guard-Forward,6-4,204,USA,1998-12-14T00:00:00,4,18,208.0,20.4,9.4,2.4,1.6,0.5,0.2,OCT 03 2022,"$6,479,000"
202322,John Wall,Clippers,Guard,6-3,210,USA,1990-09-06T00:00:00,10,1,613.0,35.6,19.1,4.3,9.1,1.7,0.7,SEP 30 2022,"$47,345,760"
203933,T.J. Warren,Nets,Forward,6-8,220,USA,1993-09-05T00:00:00,7,14,332.0,28.8,15.5,4.1,1.2,1.0,0.5,OCT 03 2022,"$1,836,090"
1629023,P.J. Washington,Hornets,Forward,6-7,230,USA,1998-08-23T00:00:00,3,12,187.0,29.3,11.8,5.7,2.3,0.9,1.0,OCT 02 2022,"$5,808,435"
1630613,Duane Washington Jr.,Suns,Guard,6-3,197,Germany,2000-03-24T00:00:00,1,Undrafted,48.0,20.2,9.9,1.7,1.8,0.5,0.1,OCT 02 2022,
1629139,Yuta Watanabe,Nets,Guard-Forward,6-9,215,Japan,1994-10-13T00:00:00,4,Undrafted,121.0,12.0,3.8,2.5,0.6,0.4,0.3,OCT 03 2022,
1630322,Lindy Waters III,Thunder,Forward,6-6,215,USA,1997-07-28T00:00:00,1,Undrafted,25.0,18.6,8.0,2.9,1.0,0.8,0.3,OCT 03 2022,
1630570,Trendon Watford,Trail Blazers,Forward,6-8,237,USA,2000-11-09T00:00:00,1,Undrafted,48.0,18.1,7.6,4.1,1.7,0.5,0.6,OCT 03 2022,"$1,563,518"
1629683,Quinndary Weatherspoon,Warriors,Guard,6-3,205,USA,1996-09-10T00:00:00,3,49,42.0,6.5,2.1,0.8,0.6,0.3,0.1,SEP 30 2022,
201566,Russell Westbrook,Lakers,Guard,6-3,200,USA,1988-11-12T00:00:00,14,4,1021.0,34.7,22.8,7.4,8.4,1.7,0.3,OCT 03 2022,"$47,063,478"
1629632,Coby White,Bulls,Guard,6-4,195,USA,2000-02-16T00:00:00,3,7,195.0,28.2,13.7,3.6,3.5,0.6,0.2,OCT 04 2022,"$7,413,955"
1628401,Derrick White,Celtics,Guard,6-4,190,USA,1994-07-02T00:00:00,5,29,263.0,25.9,11.5,3.3,3.8,0.8,0.8,OCT 02 2022,"$16,892,857"
202355,Hassan Whiteside,Jazz,Center,7-0,265,USA,1989-06-13T00:00:00,10,33,511.0,24.7,12.6,10.8,0.6,0.5,2.2,OCT 02 2022,
1630580,Joe Wieskamp,Spurs,Guard-Forward,6-6,205,USA,1999-08-23T00:00:00,1,41,29.0,7.1,2.1,0.5,0.3,0.1,0.1,OCT 02 2022,
1630598,Aaron Wiggins,Thunder,Guard,6-4,190,USA,1999-01-02T00:00:00,1,55,50.0,24.2,8.3,3.6,1.4,0.6,0.2,OCT 03 2022,"$1,563,518"
203952,Andrew Wiggins,Warriors,Forward,6-7,197,Canada,1995-02-23T00:00:00,8,1,598.0,35.0,19.3,4.4,2.3,1.0,0.7,SEP 30 2022,"$33,616,770"
1629623,Lindell Wigginton,Bucks,Guard,6-1,189,Canada,1998-03-28T00:00:00,1,,19.0,10.5,4.2,1.3,1.2,0.3,0.1,OCT 01 2022,"$1,637,966"
1630314,Brandon Williams,Trail Blazers,Guard,6-2,190,USA,1999-11-22T00:00:00,1,Undrafted,24.0,26.7,12.9,3.1,3.9,1.0,0.4,OCT 03 2022,
1629684,Grant Williams,Celtics,Forward,6-6,236,USA,1998-11-30T00:00:00,3,22,209.0,19.4,5.4,3.0,1.0,0.5,0.6,OCT 02 2022,"$4,306,281"
1629026,Kenrich Williams,Thunder,Guard-Forward,6-6,210,USA,1994-12-02T00:00:00,4,Undrafted,200.0,22.0,6.5,4.5,2.0,0.9,0.3,OCT 03 2022,"$2,000,000"
101150,Lou Williams,Hawks,Guard,6-2,175,USA,1986-10-27T00:00:00,17,45,1123.0,24.1,13.9,2.2,3.4,0.8,0.2,OCT 06 2022,
1630172,Patrick Williams,Bulls,Forward,6-7,215,USA,2001-08-26T00:00:00,2,4,88.0,27.3,9.2,4.5,1.3,0.8,0.6,OCT 04 2022,"$7,775,400"
1630533,Ziaire Williams,Grizzlies,Forward,6-9,185,USA,2001-09-12T00:00:00,1,10,62.0,21.7,8.1,2.1,1.0,0.6,0.2,OCT 01 2022,"$4,591,680"
1629057,Robert Williams III,Celtics,Center-Forward,6-9,237,USA,1997-10-17T00:00:00,4,27,174.0,19.9,7.2,6.6,1.4,0.7,1.7,OCT 02 2022,
1629627,Zion Williamson,Pelicans,Forward,6-6,284,USA,2000-07-06T00:00:00,2,1,85.0,31.7,25.7,7.0,3.2,0.9,0.6,OCT 04 2022,"$13,534,817"
1629685,Dylan Windler,Cavaliers,Guard-Forward,6-6,196,USA,1996-09-22T00:00:00,2,26,81.0,12.0,3.3,2.4,0.8,0.4,0.2,OCT 05 2022,"$4,037,278"
1626159,Justise Winslow,Trail Blazers,Forward-Guard,6-6,222,USA,1996-03-26T00:00:00,7,10,315.0,25.8,8.4,5.1,2.5,0.9,0.4,OCT 03 2022,"$4,097,561"
1630216,Cassius Winston,Wizards,Guard,6-1,185,USA,1998-02-28T00:00:00,3,53,29.0,4.7,1.9,0.3,0.7,0.1,0.0,,
1630164,James Wiseman,Warriors,Center,7-0,240,USA,2001-03-31T00:00:00,1,2,39.0,21.4,11.5,5.8,0.7,0.3,0.9,SEP 30 2022,"$9,603,360"
1626174,Christian Wood,Mavericks,Forward,6-9,214,USA,1995-09-27T00:00:00,6,Undrafted,222.0,23.6,14.2,7.3,1.3,0.6,0.9,OCT 05 2022,"$14,317,459"
1630218,Robert Woodard II,Spurs,Forward,6-6,235,USA,1999-09-22T00:00:00,2,40,25.0,3.5,1.1,1.1,0.2,0.0,0.2,OCT 02 2022,
1626153,Delon Wright,Wizards,Guard,6-5,185,USA,1992-04-26T00:00:00,7,20,411.0,20.9,7.2,3.2,3.0,1.2,0.4,SEP 30 2022,"$7,804,878"
1630589,Moses Wright,Mavericks,Forward,6-8,226,USA,1998-12-23T00:00:00,1,Undrafted,4.0,3.7,1.3,0.8,0.5,0.0,0.3,OCT 05 2022,
1630593,McKinley Wright IV,Mavericks,Guard,5-11,192,USA,1998-10-25T00:00:00,1,Undrafted,5.0,3.8,1.0,0.0,0.6,0.0,0.0,OCT 05 2022,"$1,637,966"
1628221,Gabe York,Pacers,Guard,6-3,190,USA,1993-08-02T00:00:00,2,Undrafted,2.0,10.7,4.0,1.0,2.0,1.0,0.5,,
201152,Thaddeus Young,Raptors,Forward,6-8,235,USA,1988-06-21T00:00:00,15,12,1085.0,29.3,12.8,5.8,1.8,1.4,0.4,OCT 02 2022,"$8,000,000"
1629027,Trae Young,Hawks,Guard,6-1,164,USA,1998-09-19T00:00:00,4,5,280.0,33.6,25.3,3.9,9.1,0.9,0.2,OCT 06 2022,"$37,096,500"
1630209,Omer Yurtseven,Heat,Center,6-11,275,Turkey,1998-06-19T00:00:00,1,Undrafted,56.0,12.6,5.3,5.3,0.9,0.3,0.4,OCT 04 2022,"$1,752,638"
1627826,Ivica Zubac,Clippers,Center,7-0,240,Croatia,1997-03-18T00:00:00,6,32,360.0,19.0,8.3,6.5,1.1,0.3,0.8,SEP 30 2022,"$10,123,457"
